AZEBSA	AZEBSA--p_value	BNGBBS	BNGBBS--p_value	BNGCLV	BNGCLV--p_value	BNGWTC	BNGWTC--p_value	CEBRPV	CEBRPV--p_value	HAEBSE	HAEBSE--p_value	HAUCLV	HAUCLV--p_value	HNDSKV	HNDSKV--p_value	ILORPV	ILORPV--p_value	INZNTV	INZNTV--p_value	INZSHL	INZSHL--p_value	INZTSI	INZTSI--p_value	JAVNRF	JAVNRF--p_value	KAZKAZ	KAZKAZ--p_value	KMRUBS	KMRUBS--p_value	LAOUBS	LAOUBS--p_value	MARWTC	MARWTC--p_value	POLNCV	POLNCV--p_value	RONBSR	RONBSR--p_value	RUSS76	RUSS76--p_value	SOMSIM	SOMSIM--p_value	SPNBDA	SPNBDA--p_value	SPNDHH	SPNDHH--p_value	SPNNVI	SPNNVI--p_value	SPNR95	SPNR95--p_value	SPNWTC	SPNWTC--p_value	SWESFB	SWESFB--p_value	SWESFV	SWESFV--p_value	TCVWTC	TCVWTC--p_value	TCWWTC	TCWWTC--p_value	TGKIBT	TGKIBT--p_value	TGLPBS	TGLPBS--p_value	THATSV	THATSV--p_value	TIRUBS	TIRUBS--p_value	TPIPNG	TPIPNG--p_value	TRKBST	TRKBST--p_value	TRKWTC	TRKWTC--p_value	VIEVOV	VIEVOV--p_value	ZLMAVB	ZLMAVB--p_value
(Intercept)	73.4776802428926	4.15259810983369e-35	91.262864404984	1.77113203636367e-12	98.7990107221756	2.14108576130714e-20	94.861080652105	1.85207771796528e-122	74.7106942286045	4.35488581841844e-58	97.7185530704045	1.15875999245358e-81	67.7286798039644	6.422058297369e-105	71.8538265167274	4.97913602548195e-39	78.7090751215399	9.66439282212042e-40	77.1540223991748	1.83476942631426e-71	78.1254973020828	6.06447753854655e-17	74.9557632742826	1.0440141848357e-110	79.8775436363214	1.07629409120989e-65	74.2924795951901	4.00968240368811e-64	81.9789024853088	8.38438549789628e-30	83.0876233243189	0.00075203215787624	67.978877938718	2.27305559404327e-59	84.9903227250614	2.97325367141437e-41	80.2175144613521	0.0432826182788623	91.3060770184867	5.21270930548667e-89	66.3982044478727	1.2815249141239e-218	82.6226587007252	0.00020713197834161	78.6956353158919	1.010322314552e-195	75.717233069775	1.05072809838048e-54	70.9647157070077	2.82772894367629e-79	76.4142764298907	1.68308990504944e-19	78.8132121404827	2.42540016348478e-12	76.629527641343	1.32297280941676e-24	71.5897519683814	2.73149938559063e-152	72.4596545790095	8.98340164593014e-65	81.6523713063551	3.1556308558457e-16	74.9703697197934	4.38011082164891e-55	73.7148468230408	0.870966048354296	69.6892326895652	1.00260145285755e-84	61.0428904916053	1.43387139262146e-166	66.0265901599527	6.78158260399874e-211	80.0623533593661	5.63353059841325e-173	50.1009699464484	7.8537266978696e-135	70.7766060261236	1.97646022407775e-92
position_initialTRUE	31.7593301333522	6.7478856481978e-65	182.16043858669	2.35663159133387e-10	161.079011319279	6.10905212243458e-17	228.816790407199	4.80014505490927e-108	15.0148844200696	4.23184450274489e-148	24.3652273541845	0	20.7499687059337	0	11.7680761437121	8.28814957278883e-145	12.2604502090943	3.07788701266446e-254	30.5106244618893	1.0458347795935e-150	31.2403692796801	7.60297374852255e-67	18.6918865399073	0	38.3544713390077	1.03600182871067e-243	49.0681175153097	2.29133128913388e-251	26.2137351373503	1.64482288033813e-146	11.639900013845	0	18.6034883349022	0	149.073295846251	2.1313225433601e-43	15.7843143111931	1.23293926577188e-07	29.9562442211102	2.6218170094661e-43	136.569564563273	8.34971245637965e-80	4.2842428110129	3.26911422639208e-64	187.478129204742	6.78859457014039e-53	113.409553776364	5.63051996786248e-24	135.986644857449	2.02051358551638e-27	18.7690140794675	7.54636062089799e-39	24.0250822709734	0.000833617199782322	31.6801337819952	8.49750200477058e-14	45.258552558693	0	133.214580968876	6.84689507553197e-79	30.6822543592979	1.80571391430368e-06	18.4959887352025	2.58067684255389e-168	-0.702460213980884	1.67341368685069e-235	94.6823143809102	1.41365312355286e-126	26.1402680285698	2.70692949804357e-212	183.65074418051	1.20217360509415e-94	258.706990651789	3.54312671218122e-64	52.0054303974727	3.54691929348433e-199	18.8349009747193	0
position_finalTRUE	16.7028471076127	0.652978495037667	68.8796070255623	0.00541160727532252	64.2543063693649	3.9515025416915e-06	85.0017358833155	1.56747187017476e-26	11.4391384442541	0.161397298782544	34.9332601368318	5.37325424391081e-05	23.5821669371025	8.69761735122742e-16	11.3851937533297	3.7017048554275e-42	16.7205377425316	0.00017174972392162	19.7702649310772	0.294509452746904	29.3396760931297	0.619301337192995	17.392545529996	5.36789004219501e-10	31.1695794660908	0.0735647405569162	37.4866261202646	0.0191483415100381	25.4863435302016	0.000162113787355384	84.5463528750637	1.14361564947182e-05	22.5367820004522	2.12515930156485e-37	51.809117919797	6.64658988503901e-10	16.131046705811	0.0647909343179419	8.18958229356251	0.968343852933469	32.8972143246336	9.54305956752178e-61	8.09623565726601	8.95299241411474e-06	37.4774402854464	7.79053345289808e-46	28.8692439804504	1.56698577856304e-09	31.2458570975747	2.43285185246296e-15	10.9710203668852	0.00747046270320377	4.31726408973233	1.20904401274869e-09	8.49315835029959	2.42735479719811e-14	39.0063212051338	0.0183985751263891	73.6264388745584	1.15823291787768e-09	8.08517743332831	0.359392500072948	16.9261296184398	0.121875836161462	50.6607677090441	3.41281888238934e-18	50.2624026922492	4.05279498214238e-17	17.8985063443427	1.5601306987337e-39	43.5236488309492	1.46890347067073e-58	61.1170188092723	8.79864489926514e-55	32.0752210624467	2.63256593540334e-22	18.241790833346	1.09468881479472e-06
loss	0.681053733774608	0.00214544891287771	0.196407762332783	0.00422501645015271	-2.24897495902199	0.000843168922367013	0.811237094247668	8.12046905428418e-31	1.06915876282273	8.89491869989686e-15	1.17387235822063	4.03451480635016e-06	1.23294391135565	0.0176643708045753	0.679201185789536	7.98534213305041e-12	1.26221042027928	2.6810337419308e-10	1.78072114418663	1.35480027263302e-23	1.84007346730582	0.000248752088525555	1.48257512081558	2.91876595774768e-16	1.42869131933518	4.08885914085823e-14	1.2841167344077	1.45647585453628e-11	0.706803946995167	0.328610093094258	2.99091222632992	0.00122100529148229	1.15655887171835	0.000875121267870569	2.57002874283126	3.3971270214796e-18	0.994916729155344	0.508158869540595	1.6669028499239	2.75514519414421e-30	-0.346756320783463	3.54275568472854e-57	0.556251497298252	0.617701717792015	0.793391425715741	3.47102889969228e-55	0.609356106869652	3.45662024055307e-12	0.620157024708577	7.70928844300071e-19	0.689209552239636	0.98000064560819	2.46986325566494	0.301739318359339	3.17278709364391	0.0138652254885728	0.805581834065931	0.128928473766494	1.10661782127525	3.85360785594466e-14	1.2135999691832	0.0273711955492015	0.941880882545356	6.46561244882671e-06	3.34648230589836	0.115344382133975	0.19895734232999	6.28567437522786e-20	2.65519080871546	5.76807689895998e-08	0.736592884442301	1.09256921157281e-68	-0.392079909609041	1.24533324518993e-53	2.50306238474975	0.0112333770283324	1.18759155763989	8.65394515004543e-09
position_initialTRUE:loss	-1.59652202354986	4.15259810983369e-35	-14.7313138513892	1.77113203636367e-12	-11.622036588689	2.14108576130714e-20	-23.0779807965676	1.85207771796528e-122	-1.80635027644676	4.35488581841844e-58	-1.2336468529471	1.15875999245358e-81	-0.539532392006505	6.422058297369e-105	1.29936925771771	4.97913602548195e-39	-1.55384877907541	9.66439282212042e-40	-3.98444470277956	1.83476942631426e-71	-3.23726212122774	6.06447753854655e-17	-1.67536559431167	1.0440141848357e-110	-3.77267853546648	1.07629409120989e-65	-3.92847359032096	4.00968240368811e-64	0.482017729746888	8.38438549789628e-30	-2.53861418111628	0.00075203215787624	0.797331486328628	2.27305559404327e-59	-18.1998417676061	2.97325367141437e-41	1.11105181184944	0.0432826182788623	-3.34609449306193	5.21270930548667e-89	-13.9422987100664	1.2815249141239e-218	0.136129514223942	0.00020713197834161	-22.5481693650539	1.010322314552e-195	-11.5030054313356	1.05072809838048e-54	-14.6920649004054	2.82772894367629e-79	-0.012426217180959	1.68308990504944e-19	-0.709481991159902	2.42540016348478e-12	-1.52939362691427	1.32297280941676e-24	-0.625741655576914	2.73149938559063e-152	-11.7644133352043	8.98340164593014e-65	-1.70405020790079	3.1556308558457e-16	-1.38399108948347	4.38011082164891e-55	1.48132435445071	0.870966048354296	-8.89378985180377	1.00260145285755e-84	-1.53014281012278	1.43387139262146e-166	-20.5101129377899	6.78158260399874e-211	-27.7762305108316	5.63353059841325e-173	-1.02744638608668	7.8537266978696e-135	-1.27031037256622	1.97646022407775e-92
