AZEBSA	AZEBSA--p_value	BNGBBS	BNGBBS--p_value	BNGCLV	BNGCLV--p_value	BNGWTC	BNGWTC--p_value	CEBRPV	CEBRPV--p_value	HAEBSE	HAEBSE--p_value	HAUCLV	HAUCLV--p_value	HNDSKV	HNDSKV--p_value	ILORPV	ILORPV--p_value	INZNTV	INZNTV--p_value	INZSHL	INZSHL--p_value	INZTSI	INZTSI--p_value	JAVNRF	JAVNRF--p_value	KAZKAZ	KAZKAZ--p_value	KMRUBS	KMRUBS--p_value	LAOUBS	LAOUBS--p_value	MARWTC	MARWTC--p_value	POLNCV	POLNCV--p_value	RONBSR	RONBSR--p_value	RUSS76	RUSS76--p_value	SOMSIM	SOMSIM--p_value	SPNBDA	SPNBDA--p_value	SPNDHH	SPNDHH--p_value	SPNNVI	SPNNVI--p_value	SPNR95	SPNR95--p_value	SPNWTC	SPNWTC--p_value	SWESFB	SWESFB--p_value	SWESFV	SWESFV--p_value	TCVWTC	TCVWTC--p_value	TCWWTC	TCWWTC--p_value	TGKIBT	TGKIBT--p_value	TGLPBS	TGLPBS--p_value	THATSV	THATSV--p_value	TIRUBS	TIRUBS--p_value	TPIPNG	TPIPNG--p_value	TRKBST	TRKBST--p_value	TRKWTC	TRKWTC--p_value	VIEVOV	VIEVOV--p_value	ZLMAVB	ZLMAVB--p_value
(Intercept)	5.92188082769622	2.5909444330143e-252	5.9208059726078	5.39266074030283e-43	5.94953482851593	2.45192832033668e-68	5.93846707470437	1.76024054071489e-247	6.03203023072607	0	6.09693906530973	4.45206174332881e-60	5.91870322230535	0	5.79812491763711	0	6.067487704235	2.003062732259e-114	5.93958911690642	0	6.03786389692329	3.33166768020743e-292	5.92634912259399	0	6.04867104651262	0	5.82280286777787	0	5.8996566129951	0	5.99218877379238	4.3761929120032e-46	5.79591125753257	0	5.85025235324071	2.84423064326703e-120	6.0708355447035	1.75066001819398e-91	6.02426218171103	7.28322678653636e-268	5.67355535764748	0	6.11365458622433	1.00529081471376e-50	5.82735848415455	0	5.79968462730911	1.24908667350558e-143	5.71688533601298	9.17447360634061e-206	5.96567917318287	1.68287609998072e-148	5.83938726200107	0	5.85673473549726	0	5.76128462883315	0	5.84937618017908	0	6.00868033337639	6.36926713033575e-182	6.01419560229814	2.28230826402788e-246	5.75833881952346	1.3372312297335e-72	5.63181371586967	1.80310583714133e-52	5.79295182670032	0	5.72372889699397	0	5.77403014999993	1.44303927249012e-220	5.61331041043798	0	5.81566748604167	0
position_initialTRUE	0.600600878345442	6.0488319055654e-09	1.37079602109321	2.66675838661776e-40	1.19929305583465	1.3218616409348e-52	1.53595287370267	6.61917161388889e-259	0.465904278537453	4.3758319177451e-17	0.135834703074302	0	0.41316415043956	0	0.374095019251807	9.50011823516818e-173	0.197069129002764	7.94336576997341e-86	0.700127150139573	9.22162531025443e-112	0.505222116531784	4.34195978448975e-162	0.504398018838208	2.97515741670688e-302	0.746680895237605	1.3299095875189e-184	0.801154934253325	0	0.596787489738548	2.6396949183898e-142	0.40877619169476	0	0.725434531344853	0	1.08414900846243	2.8053976149488e-69	0.270713975687713	0.01437342908885	0.410015268788293	0.000183171330130822	1.33342441347297	2.16574463845071e-145	0.0748802070048092	1.94739227470835e-44	1.13491886869817	5.47818046368749e-149	0.839341641719265	1.21303800096693e-62	0.940817792733455	3.50804031143127e-105	0.160980209249221	4.07766906646451e-42	0.69314309440991	0.00133270975452084	0.652976732193712	0.824261071457453	0.782296040691761	0	1.10792519705091	0	0.607951559851444	0.0064218127423479	0.326516776777768	2.84563840084752e-80	0.430284732036692	1.65152209479861e-142	0.462127015166257	6.83476908883545e-256	0.428156782925524	1.17764611531797e-200	1.33455954077124	8.89426562764439e-171	1.6551252211346	1.23905175242861e-113	0.645926125382142	1.01000494034387e-135	0.549422037980343	0
position_finalTRUE	0.109489399882843	5.78223842801915e-30	0.571167649326268	0.101095981719652	0.554213149678806	0.384694379901504	0.697229202355029	0.00198437288834897	0.0850383769689038	1.54342120984906e-21	0.340648499555322	2.95420871728259e-84	0.322166718959467	2.80584705307376e-20	0.249575811348475	8.97221240052793e-179	0.171249475543407	1.11933669565993e-90	0.247770327320849	5.29114163987074e-45	0.276893955168131	1.55888308920827e-46	0.256665701298645	2.10256853395435e-139	0.27921847824078	2.35465622809024e-08	0.460657881315681	2.60510415245767e-66	0.270210919166626	2.4382724991214e-25	1.11089410903147	0	0.406836944749211	1.98228345640902e-161	0.383597780315905	3.77350441169009e-05	0.0541577720571311	1.77979391890046e-14	0.0541535125851936	1.71390467300215e-148	0.38287055714143	2.94100293432388e-08	0.112442026826076	7.27521261583299e-29	0.364789677038606	8.50186160290038e-05	0.310510657698753	0.719508086859054	0.363571251493774	0.616139282069268	0.129732910321764	2.86412253938494e-19	0.0310994399318217	1.71743327849273e-76	0.0768528625876284	3.20597546383084e-114	0.541448345890169	3.13652480447754e-104	0.718271160757977	4.45678224082249e-07	0.0834423300807584	1.6488954979244e-28	0.172630758570944	8.2586928989331e-63	0.675969940606584	0	0.6204726137088	0.0642978550952986	0.240592619804137	5.14679289798908e-159	0.427395839746591	0.567248084704784	0.540083014017727	1.43535440406193e-05	0.371205239647624	3.42717640773805e-115	0.317538922036122	1.12843721246954e-171
loss	0.0405073474990683	1.13661106421626e-11	0.0151565590724956	7.46478373627971e-14	0.0162322800444558	2.02669903144448e-11	0.018105517014643	4.71897436237428e-61	0.028645583182737	1.01270620309084e-67	0.0331588602067269	0.753871758531013	0.0191889456329598	0.000671921976197177	0.0410797545640031	0.00148196958860851	0.0334200976393554	1.16428080208054e-08	0.0445520234175857	5.54912475679003e-82	0.0395550232453786	5.41672143281748e-35	0.0420480884025748	1.70127860501933e-55	0.0229994938595529	6.21345429641815e-65	0.0473599253767019	2.24113497491355e-55	0.0275810546343003	0.000842147549793453	0.0766982335449731	4.97180338316726e-10	0.0466825590982351	5.42938023010405e-31	0.0332076979895167	2.62005302605634e-26	0.0262890566184164	0.118822861104436	0.0576224017794807	5.70371393536858e-25	0.013057239181532	1.09259696505985e-87	0.0177839837672831	0.475606246130554	0.0105042359197783	8.70329456810895e-49	0.0170078968332562	7.62833767678437e-16	0.0152979442362917	3.20177608327594e-25	0.0164606538092677	0.0347660856272805	0.0619394677390684	2.52166503606289e-30	0.0666835048424071	6.07886367908205e-22	0.041673656557439	3.59027524512339e-11	0.0229523617197544	4.74106401158313e-22	0.0466489706003818	1.79128516843108e-12	0.0351165500728396	8.38899037031857e-15	0.0852429944334357	0.00361235867909307	0.0105908361768251	0.00172069199173149	0.0659602819764356	6.80344891718843e-43	0.0232358934107692	2.21223168558583e-68	0.0106908283813215	2.39519000541651e-50	0.0776198352007352	8.41212816385844e-09	0.0480311604920558	7.68127200241504e-42
position_initialTRUE:loss	-0.0501539360336848	NA	-0.149936434773769	NA	-0.10808899471989	NA	-0.168203170847283	NA	-0.0658408375850214	NA	-0.00139336693513656	NA	-0.0124939124031657	NA	0.0110808768949794	NA	-0.0217947638058823	NA	-0.0972318372670417	NA	-0.0606576987290607	NA	-0.05064561006138	NA	-0.0838682803951696	NA	-0.087310121431853	NA	-0.0170188211091219	NA	-0.0721457316474495	NA	-0.0459707462029947	NA	-0.124596021235664	NA	-0.012715196491301	NA	-0.0501329288584002	NA	-0.148000920012787	NA	0.00294470253999567	NA	-0.122196755359044	NA	-0.0861267409187188	NA	-0.0994512585570303	NA	0.0111030935139064	NA	-0.0738547776601915	NA	-0.0601308742821877	NA	-0.0322696381862527	NA	-0.0854795568075693	NA	-0.0547993094947252	NA	-0.0321750682536327	NA	-0.0410209124026181	NA	-0.0261977070322858	NA	-0.0488580190445343	NA	-0.141683347542012	NA	-0.175427977124329	NA	-0.0339403426752053	NA	-0.0502558287175037	NA
