AZEBSA	AZEBSA--p_value	BNGBBS	BNGBBS--p_value	BNGCLV	BNGCLV--p_value	BNGWTC	BNGWTC--p_value	CEBRPV	CEBRPV--p_value	HAEBSE	HAEBSE--p_value	HAUCLV	HAUCLV--p_value	HNDSKV	HNDSKV--p_value	ILORPV	ILORPV--p_value	INZNTV	INZNTV--p_value	INZSHL	INZSHL--p_value	INZTSI	INZTSI--p_value	JAVNRF	JAVNRF--p_value	KAZKAZ	KAZKAZ--p_value	KMRUBS	KMRUBS--p_value	LAOUBS	LAOUBS--p_value	MARWTC	MARWTC--p_value	POLNCV	POLNCV--p_value	RONBSR	RONBSR--p_value	RUSS76	RUSS76--p_value	SOMSIM	SOMSIM--p_value	SPNBDA	SPNBDA--p_value	SPNDHH	SPNDHH--p_value	SPNNVI	SPNNVI--p_value	SPNR95	SPNR95--p_value	SPNWTC	SPNWTC--p_value	SWESFB	SWESFB--p_value	SWESFV	SWESFV--p_value	TCVWTC	TCVWTC--p_value	TCWWTC	TCWWTC--p_value	TGKIBT	TGKIBT--p_value	TGLPBS	TGLPBS--p_value	THATSV	THATSV--p_value	TIRUBS	TIRUBS--p_value	TPIPNG	TPIPNG--p_value	TRKBST	TRKBST--p_value	TRKWTC	TRKWTC--p_value	VIEVOV	VIEVOV--p_value	ZLMAVB	ZLMAVB--p_value
(Intercept)	6.00304063459461	1.26395492844878e-37	5.96968890195581	1.7545433127575e-33	6.01205993877287	8.22492593728894e-42	5.92907522291679	2.36379266539907e-196	6.06528418293631	4.15935227942352e-80	6.3919610958647	7.21303778141142e-115	5.93052355586302	6.12575095514276e-160	5.98745260257467	3.25644176036532e-44	6.13230252986833	1.22597544153313e-68	6.06820981117645	4.52307915881512e-129	6.15625983444545	2.0494919514385e-68	6.07517903734517	1.86948388336075e-204	6.11578472327065	8.40739618846206e-171	5.9762834649513	2.94961930766364e-107	6.11341217409344	1.4840308023956e-58	6.12158307334619	5.83939420916947e-07	5.89901259872486	4.99451946837778e-85	5.96131225885267	1.61466597660334e-62	6.17523699786503	3.23344080015282e-06	6.29737766790107	1.93807554315089e-110	5.70919445490113	6.18596677783483e-211	6.25733139538425	0.0293296766912103	5.93043696838933	1.97594381520641e-236	5.90165291639668	3.15263709176687e-76	5.79570455060665	1.55854506421536e-124	6.09730219778951	9.14662586152194e-14	5.95383309394976	3.10469560326185e-12	5.96661379563764	2.61216211104817e-24	5.92902230488859	0	5.83619064711919	4.0295076576812e-134	6.14141631779467	1.17055051543853e-30	6.07243360240993	6.56844749216116e-85	5.90408065505519	0.00457995540784617	5.64813622934146	5.83091852165341e-87	5.77641436808282	0	5.7540305972647	2.76434931174256e-234	5.79226321178602	3.46971882844693e-171	5.61451283196267	2.00571724972115e-177	5.98026291939685	9.13856022278319e-164
position_initialTRUE	0.4620350261064	3.51739200816749e-32	1.25131856099183	1.22165873518986e-38	1.14105170755585	2.89837725408347e-49	1.55482900774529	4.85873176087376e-238	0.284926456961853	1.90352304345823e-64	0.447879416077593	0	0.404122966140282	0	0.219203208102611	3.09907607524513e-98	0.246369925957115	4.94509308425088e-122	0.521484301089465	3.77078564906977e-115	0.353917808584357	1.1832330074944e-157	0.389661017075229	1.16739212670169e-290	0.627076773903277	2.26555647597359e-211	0.600008795841771	0	0.387196312343771	4.08891276454604e-139	0.252002820207516	0	0.357807997873344	0	1.06965572025525	8.81267092061246e-76	0.178047492827369	8.02052126585409e-20	0.553158194749999	9.01553168503052e-22	1.16807894488169	5.12232820302612e-154	0.0375747054164748	1.04253422388923e-50	1.22987319335816	3.20985979010992e-129	0.886905735224372	3.55310764424378e-63	1.01666554633689	1.40463880713704e-86	0.167411221907132	4.51452937384601e-52	0.225378196957844	0.0011712332013901	0.320763125113271	0.372578790955932	0.821036347007984	0	1.15022411585809	4.74787458049962e-149	0.420226597363925	0.663912578139683	0.306417436263325	1.85456301199548e-121	0.181180219428859	1.64534736831779e-159	0.867473362996442	2.0305644877196e-183	0.507137063979992	0	1.37870985850613	7.71108026965814e-199	1.70742516048144	1.87898435940676e-127	0.870093491030411	8.54789920964347e-178	0.40028944281908	0
position_finalTRUE	0.162286707511969	0.0836526394340025	0.566399625350472	2.41779382896832e-09	0.544686062971446	7.31955712864995e-08	0.678973943939919	8.74359958897675e-43	0.120090711447582	0.796378707791328	0.468523894332666	0.554717985003168	0.33360899012152	7.69247957976627e-14	0.1629018695297	3.58885967082206e-40	0.174156965602648	0.000463220214683497	0.217400670080897	0.00176985019582633	0.245566402747637	0.045138651995441	0.218889321662541	1.27455090313513e-07	0.290155644943101	7.01064804223363e-12	0.460046905821346	0.0303353028527878	0.257228148418565	1.33905956104788e-06	1.06507836915755	1.2389150760175e-07	0.342374738518068	6.42538152392381e-39	0.399519078442353	2.93877817115451e-11	0.135227140774359	3.65524786787648e-05	0.0940435969869923	0.00579012340083555	0.401219919886149	4.57880105144016e-46	0.106990271411721	6.78472479931594e-07	0.353497814595892	8.47713507294965e-52	0.316526201047685	1.6901543553472e-11	0.337498369658393	6.47912467518933e-20	0.138107535789892	0.000293855009001622	-0.0394898635372532	1.04316010900765e-45	0.0103285605388156	3.53174051611137e-54	0.508067710608539	0.0327752848998177	0.605797907740492	1.24487117385791e-10	0.0071016336201542	0.0125310859189228	0.189798751392402	0.545797460962048	0.613626735073333	1.61498570395065e-15	0.549204479304166	1.37497654901815e-15	0.280778755620743	4.33863998948088e-74	0.452054543951109	3.89075587180885e-47	0.577519304240809	5.69432398637876e-45	0.439432276604881	4.05037199591351e-24	0.276719991438103	4.34670709901514e-11
loss	0.0159083811463864	0.00860326988219594	0.00130977121086056	1.00547999772166e-09	0.00312383723931459	7.14671419689537e-09	0.0069073758027818	1.63776848565281e-51	0.0183325480334723	9.23749403286831e-24	0.0143126733757321	2.6127140377806e-10	0.0223254542215849	3.69352801679069e-06	0.0147117168802077	1.85221324538082e-06	0.0234797516419103	4.07493507416425e-19	0.0288255543946485	1.43266028334144e-48	0.0244546808809233	2.21509939466912e-16	0.0282183028032275	6.67990541079864e-37	0.0198841821878417	9.32198444790872e-51	0.0190233446149153	6.96892548864993e-20	0.0122614012847785	0.890487802432315	0.053651031819791	4.58310459072435e-05	0.023110873346431	0.232721882065908	0.020863042995175	2.27020123081601e-24	0.0200962012023864	0.43597755045959	0.0258934002183814	3.01899736351244e-42	0.00073235435035711	6.24686728968186e-49	0.0102850002599525	0.943401980771052	0.00429980022171443	3.75258308421001e-61	0.01032724805637	1.04282304630759e-18	0.0107493349321875	7.46547408861004e-31	0.00813041474664726	0.484958519856755	0.0508585969101042	0.185822416015691	0.0579080207595586	0.0116683199549865	0.020933058790142	5.29144371640438e-11	0.0178592990040151	2.32360018445069e-25	0.024534650189299	6.33414757880341e-05	0.0175519982653738	1.31475944266365e-15	0.0588715535222331	0.609708998112866	0.0036706169693143	6.72811376548526e-20	0.0564710391191891	1.8254000120861e-40	0.0131529490803909	4.37351416678738e-70	0.00539895227314056	2.78805581408957e-52	0.0434266603672535	6.18228646988639e-06	0.0277571804094462	1.18370850286163e-19
position_initialTRUE:loss	-0.0191642090795293	1.26395492844878e-37	-0.12569312025435	1.7545433127575e-33	-0.0969825021403088	8.22492593728894e-42	-0.161197740992533	2.36379266539907e-196	-0.0376490142598259	4.15935227942352e-80	-0.0261103442102037	7.21303778141142e-115	-0.0165303649080783	6.12575095514276e-160	0.0158134564139042	3.25644176036532e-44	-0.0332707625547546	1.22597544153313e-68	-0.073602075450923	4.52307915881512e-129	-0.0392060814431568	2.0494919514385e-68	-0.0396830334374074	1.86948388336075e-204	-0.0750228459785676	8.40739618846206e-171	-0.0498544311509033	2.94961930766364e-107	0.000704479882586874	1.4840308023956e-58	-0.046718027946905	5.83939420916947e-07	0.00457159281487794	4.99451946837778e-85	-0.12301640981183	1.61466597660334e-62	-0.0063660445055453	3.23344080015282e-06	-0.0659099065743663	1.93807554315089e-110	-0.111986204773546	6.18596677783483e-211	0.00028916827517851	0.0293296766912103	-0.14162632118323	1.97594381520641e-236	-0.0961581527511254	3.15263709176687e-76	-0.113495649562554	1.55854506421536e-124	0.00374259315284177	9.14662586152194e-14	-0.00856150620415895	3.10469560326185e-12	-0.0159652331575856	2.61216211104817e-24	-0.031474678831003	0	-0.0957129251894317	4.0295076576812e-134	-0.0299016628156022	1.17055051543853e-30	-0.032514887487667	6.56844749216116e-85	-0.00709536580932184	0.00457995540784617	-0.0803296373742175	5.83091852165341e-87	-0.0471762860793933	0	-0.147319156584694	2.76434931174256e-234	-0.181799169201204	3.46971882844693e-171	-0.0266008004619701	2.00571724972115e-177	-0.0317841639346422	9.13856022278319e-164
