loss:position_initialTRUE	(Intercept)	position_initialTRUE	position_finalTRUE	loss	position_initialTRUE:loss
AZEBSA	4.1223822803519	67.3499554949266	34.1784556655582	25.6656672030463	1.01648965732376	-6.09324870205589
BNGBBS	-9.16002861023397	111.952358268163	177.27627128295	25.6656672030463	-0.143632528954991	-6.09324870205589
BNGCLV	-7.02657853101817	120.565792309772	160.980035380517	25.6656672030463	-1.64557140969362	-6.09324870205589
BNGWTC	-16.0036877271392	125.941284263896	217.089577187033	25.6656672030463	-0.215826633209279	-6.09324870205589
CEBRPV	3.64387982958424	65.1345939858177	19.6910994329749	25.6656672030463	1.76890422579099	-6.09324870205589
HAEBSE	5.01672004847998	112.219093029766	21.6309759564511	25.6656672030463	1.13113811279119	-6.09324870205589
HAUCLV	5.41532620302947	60.9942125585727	21.3927045318726	25.6656672030463	1.34839727414503	-6.09324870205589
HNDSKV	6.79442067422726	58.3354731979938	16.814049761499	25.6656672030463	1.27008276700734	-6.09324870205589
ILORPV	4.20281743982166	75.1259220513707	14.6189428129379	25.6656672030463	1.67549317117602	-6.09324870205589
INZNTV	1.98492039141113	74.5433774293051	31.5170403971419	25.6656672030463	2.05483975302467	-6.09324870205589
INZSHL	3.11834417264616	82.5460044717718	30.109270789009	25.6656672030463	1.54502609805213	-6.09324870205589
INZTSI	4.02298874922964	68.8552793641837	20.6594953020442	25.6656672030463	1.96095341101244	-6.09324870205589
JAVNRF	2.58951810256818	84.9506782221313	36.5225636455614	25.6656672030463	1.18515686439734	-6.09324870205589
KAZKAZ	2.40318315701492	76.8802726257257	46.7746039926215	25.6656672030463	1.01323460857445	-6.09324870205589
KMRUBS	6.3694590011509	84.7348989846103	26.8430163783278	25.6656672030463	0.821026082336972	-6.09324870205589
LAOUBS	4.2874951041395	92.4343446222129	8.43460735024151	25.6656672030463	2.48958305216568	-6.09324870205589
MARWTC	6.66675425474291	59.9807453902939	19.8355647930268	25.6656672030463	1.2563724241146	-6.09324870205589
POLNCV	-11.1997372541683	106.358384577591	142.82996271913	25.6656672030463	1.60877513057991	-6.09324870205589
RONBSR	6.44284012816251	79.3226048141225	19.4061944907396	25.6656672030463	1.41555307380571	-6.09324870205589
RUSS76	2.56769674501267	92.1559942635888	33.9083472298034	25.6656672030463	1.89174249139527	-6.09324870205589
SOMSIM	-7.718620684693	62.0393671863311	135.192356730504	25.6656672030463	-0.450101404965874	-6.09324870205589
SPNBDA	5.23156654222091	77.6529295472824	11.0943661076253	25.6656672030463	1.32154162138182	-6.09324870205589
SPNDHH	-15.4175485964558	84.53625186917	181.559658340656	25.6656672030463	0.250944320303185	-6.09324870205589
SPNNVI	-5.25574656280895	76.9970507407172	112.245591143809	25.6656672030463	0.495963102381112	-6.09324870205589
SPNR95	-8.25447032511569	70.3998759905254	133.792185278044	25.6656672030463	0.383495216473268	-6.09324870205589
SPNWTC	5.14633613283086	70.4824995760518	24.9410559382241	25.6656672030463	1.26217547172666	-6.09324870205589
SWESFB	4.37316953307306	68.1112801631645	32.4730586558172	25.6656672030463	3.2362862438276	-6.09324870205589
SWESFV	3.82442602461303	67.6100349388494	38.3960685442229	25.6656672030463	3.66649704775059	-6.09324870205589
TCVWTC	5.26194002878046	70.9004793024422	44.385037201741	25.6656672030463	0.762589396818124	-6.09324870205589
TCWWTC	-6.00208494833838	76.4879086380272	131.966773751298	25.6656672030463	0.553267491735202	-6.09324870205589
TGKIBT	3.77492045822712	74.6542766786464	36.2223411776031	25.6656672030463	1.76617958783549	-6.09324870205589
TGLPBS	4.29119987784595	69.2104248290928	21.5297927773361	25.6656672030463	1.33040705919309	-6.09324870205589
THATSV	7.43533136745489	73.1817400773439	-0.500251376976536	25.6656672030463	3.11983370081259	-6.09324870205589
TIRUBS	-2.2181284072905	73.2070216648431	89.0064494075925	25.6656672030463	-0.301335594191117	-6.09324870205589
TPIPNG	4.31303590010073	48.3166844413782	28.6594651898627	25.6656672030463	2.93210140062177	-6.09324870205589
TRKBST	-13.8782991426127	65.1243169079813	180.168389014534	25.6656672030463	0.193634180196052	-6.09324870205589
TRKWTC	-20.9121928568586	93.5360252218508	252.157465981026	25.6656672030463	-1.16923705381949	-6.09324870205589
VIEVOV	5.23531878453699	40.9132520042791	45.7907450516426	25.6656672030463	2.20699910861353	-6.09324870205589
ZLMAVB	4.5111327432295	62.7655627114493	20.4722811570887	25.6656672030463	1.61613843304839	-6.09324870205589
