coef	pval
(Intercept)	79.5557153343355	0
position_initialTRUE	43.4264151827215	1.21591676852366e-27
position_finalTRUE	25.7569482393945	8.81277701534801e-40
loss	1.52200163846761	5.33362001305936e-05
re(random = ~1 | char, method = "REML")	NA	0.00146224583731299
position_initialTRUE:loss	-2.11683878444714	0
